,Hospital,City,State,ZIP Code,Score,Score URL
857,St. Luke's Hospital of Kansas City,Kansas City,MO,64111-3220,63.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
858,Missouri Baptist Medical Center,Saint Louis,MO,63131-2329,63.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
859,St. Luke's Hospital-Chesterfield,Chesterfield,MO,63017-3417,62.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
860,North Kansas City Hospital,North Kansas City,MO,64116-3220,61.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
861,Boone Hospital Center,Columbia,MO,65201-5844,61.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
862,Mosaic Life Care-St. Joseph,St. Joseph,MO,64506-3488,60.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
863,Mercy Hospital South,Saint Louis,MO,63128-2106,57.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
864,St. Luke's East Hospital,Lee's Summit,MO,64086-6000,57.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
865,SSM Health St. Mary's Hospital-St. Louis,Saint Louis,MO,63117-1811,56.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
866,Mercy Hospital Springfield,Springfield,MO,65804-2263,56.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
867,Mercy Hospital Joplin,Joplin,MO,64804-1626,56.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
868,SSM Health St. Clare Hospital-Fenton,Fenton,MO,63026-2394,55.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
869,Parkland Health Center-Farmington Community,Farmington,MO,63640-1921,54.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
870,Research Medical Center,Kansas City,MO,64132-1136,54.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
871,Mercy Hospital Jefferson,Festus,MO,63028-4100,53.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
872,SSM Health St. Joseph Hospital-Lake St. Louis,Lake Saint Louis,MO,63367-1366,53.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
873,University of Missouri Health Care-Columbia,Columbia,MO,65212-0001,52.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
874,St. Luke's North Hospital-Barry Road,Kansas City,MO,64154-2778,51.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
875,St. Joseph Medical Center-Kansas City,Kansas City,MO,64114-4673,51.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
876,CoxHealth Springfield,Springfield,MO,65802-1988,50.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
877,Mercy Hospital Washington,Washington,MO,63090-3127,49.7,/best-hospitals/area/co/national-jewish-health-6840315/pul
878,SSM Health DePaul Hospital-St. Louis,Bridgeton,MO,63044-2512,49.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
879,Barnes-Jewish St. Peters Hospital,Saint Peters,MO,63376-1659,48.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
880,Cox Medical Center Branson,Branson,MO,65616-2052,48.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
881,SSM Health St. Joseph-St. Charles,Saint Charles,MO,63301-2844,46.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
882,Christian Hospital,Saint Louis,MO,63136-6119,46.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
883,SSM Health St. Louis University Hospital,Saint Louis,MO,63110-0250,46.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
884,Centerpoint Medical Center,Independence,MO,64057-2301,44.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
885,Lake Regional Health System-Osage Beach,Osage Beach,MO,65065-3050,43.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
886,Freeman Health System-Joplin,Joplin,MO,64804-3503,41.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
887,Southeast Hospital,Cape Girardeau,MO,63701-5230,40.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
888,Liberty Hospital,Liberty,MO,64068-9600,40.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
889,Bothwell Regional Health Center,Sedalia,MO,65301-5972,40.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
890,Ozarks Medical Center,West Plains,MO,65775-2029,37.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
891,Poplar Bluff Regional Medical Center,Poplar Bluff,MO,63901,33.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
892,St. Francis Healthcare System-Cape Girardeau,Cape Girardeau,MO,63703-5049,32.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
893,Phelps County Regional Medical Center,Rolla,MO,65401-2905,27.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
894,St. Patrick Hospital,Missoula,MT,59802-4096,71.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
895,Billings Clinic,Billings,MT,59101-0703,62.1,/best-hospitals/area/co/national-jewish-health-6840315/pulm
896,St. Vincent Healthcare-Billings,Billings,MT,59101-0165,60.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
897,Benefis Health System-Great Falls,Great Falls,MT,59405-5104,52.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
898,St. Peter's Hospital-Helena,Helena,MT,59601-4928,52.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
899,Kalispell Regional Healthcare,Kalispell,MT,59901-3129,44.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
900,CHI Health Good Samaritan,Kearney,NE,68847-2926,70.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
901,Nebraska Medicine-Nebraska Medical Center,Omaha,NE,68105,61.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
902,Nebraska Methodist Hospital,Omaha,NE,68114-4199,60.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
903,Creighton University Medical Center-Bergan Mercy,Omaha,NE,68124-2319,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" "
904,CHI Health Lakeside,Omaha,NE,68122,56.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
905,CHI Health St Elizabeth,Lincoln,NE,68510-2494,56.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
906,Bryan Medical Center,Lincoln,NE,68506-1299,49.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
907,Faith Regional Health Services-Norfolk,Norfolk,NE,68701-4438,47.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
908,CHI Health St. Francis,Grand Island,NE,68803-4297,39.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
909,Regional West Medical Center,Scottsbluff,NE,69361-4695,37.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
910,Great Plains Health-North Platte,North Platte,NE,69101-6598,37.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
911,St. Mary's Regional Medical Center-Reno,Reno,NV,89503-4548,57.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
912,Renown Regional Medical Center,Reno,NV,89502-1576,50.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
913,St. Rose Dominican Hospitals-San Martin Campus,Las Vegas,NV,89113-3612,45.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
914,University Medical Center-Las Vegas,Las Vegas,NV,89102-2386,45.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
915,Carson Tahoe Health-Carson City,Carson City,NV,89703-4625,45.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
916,St. Rose Dominican Hospitals-Siena Campus,Henderson,NV,89052,41.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="""
917,St. Rose Dominican Hospitals-Rose de Lima Campus,Henderson,NV,89015-5524,34.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pr"
918,Desert Springs Hospital Medical Center,Las Vegas,NV,89119-5121,29.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
919,Valley Hospital Medical Center,Las Vegas,NV,89106-4119,27.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
920,MountainView Hospital,Las Vegas,NV,89128-0436,26.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
921,Sunrise Hospital and Medical Center,Las Vegas,NV,89109-2306,18.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
922,Wentworth-Douglass Hospital,Dover,NH,03820,63.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
923,Concord Hospital,Concord,NH,03301-2598,60.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
924,Dartmouth-Hitchcock Medical Center,Lebanon,NH,03756-0001,59.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
925,Elliot Hospital,Manchester,NH,03103-3502,54.7,/best-hospitals/area/co/national-jewish-health-6840315/pulm
926,St. Joseph Hospital-Nashua,Nashua,NH,03060-3648,54.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
927,Southern New Hampshire Medical Center,Nashua,NH,03060-3925,50.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
928,Catholic Medical Center,Manchester,NH,03102-3770,46.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
929,St. Luke's Hospital-Warren Campus,Phillipsburg,NJ,08865-1690,69.2,/best-hospitals/area/co/national-jewish-health-6840315/pulm
930,Morristown Medical Center,Morristown,NJ,07960-6136,64.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
931,Hackensack University Medical Center,Hackensack,NJ,07601-1914,62.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spaci"
932,Holy Name Medical Center,Teaneck,NJ,07666-4281,62.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
933,St. Peter's University Hospital,New Brunswick,NJ,08901-1780,61.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
934,Jersey Shore University Medical Center,Neptune,NJ,07754-0397,60.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
935,"Jefferson Health-Stratford, Cherry Hill and Washington Township",Stratford,NJ,08084,60.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
936,Hunterdon Medical Center,Flemington,NJ,08822-4604,60.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
937,St. Barnabas Medical Center,Livingston,NJ,07039-5672,59.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
938,St. Joseph's University Medical Center,Paterson,NJ,07503-2691,59.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
939,Englewood Hospital,Englewood,NJ,07631-1898,58.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
940,Valley Hospital,Ridgewood,NJ,07450-2726,58.3,/best-hospitals/area/co/national-jewish-health-6840315/pulm
941,AtlantiCare Regional Medical Center,Atlantic City,NJ,08401-6713,57.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spac"
942,Robert Wood Johnson University Hospital,New Brunswick,NJ,08901-1928,57.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing="
943,Hackensack Meridian Health Pascack Valley Medical Center,Westwood,NJ,07675-3123,55.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix=""\"
944,Hackensack Meridian Health Southern Ocean Medical Center,Manahawkin,NJ,08050-2499,55.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
945,Robert Wood Johnson University Hospital Somerset,Somerville,NJ,08876-2598,54.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pre"
946,Hackensack Meridian Health Ocean Medical Center,Brick Township,NJ,08724-7732,53.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
947,Our Lady of Lourdes Medical Center,Camden,NJ,08103-3117,53.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spa"
948,Cape Regional Health System-Cape May Court House,Cape May Court House,NJ,08210-9990,53.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lett"
949,Penn Medicine Princeton Medical Center,Plainsboro,NJ,08536,52.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" prefix="
950,Hackensack Meridian Health Raritan Bay Medical Center,Perth Amboy,NJ,08861-3654,52.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
951,St. Michael's Medical Center,Newark,NJ,07102-1909,52.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
952,Overlook Medical Center,Summit,NJ,07901-3533,52.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
953,Newton Medical Center-New Jersey,Newton,NJ,07860-1004,51.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
954,Hackensack Meridian Health Riverview Medical Center,Red Bank,NJ,07701-1864,51.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
955,Hackensack Meridian Health Palisades Medical Center,North Bergen,NJ,07047-6217,51.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
956,Cooper University Health Care-Camden,Camden,NJ,08103-1489,51.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
957,Hackensack Meridian Health Mountainside Medical Center,Montclair,NJ,07042-4898,50.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
958,Virtua Voorhees Hospital,Voorhees,NJ,08043-9612,50.5,/best-hospitals/area/co/national-jewish-health-6840315/pulm
959,Chilton Medical Center,Pompton Plains,NJ,07444-1696,50.0,/best-hospitals/area/co/national-jewish-health-6840315/pulmo
960,Monmouth Medical Center-Long Branch Campus,Long Branch,NJ,07740-6303,48.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
961,Inspira Medical Center-Vineland,Vineland,NJ,08360-6912,48.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pr"
962,"Monmouth Medical Center, Southern Campus",Lakewood,NJ,08701-5237,48.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
963,Robert Wood Johnson University Hospital at Hamilton,Hamilton,NJ,08690-3599,45.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pre"
964,Community Medical Center-Toms River,Toms River,NJ,08755-6423,45.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
965,Hackensack Meridian Health Bayshore Medical Center,Holmdel,NJ,07733-1598,44.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
966,Virtua Memorial Hospital,Mount Holly,NJ,08060-2099,44.3,/best-hospitals/area/co/national-jewish-health-6840315/pulm
967,Hackensack Meridian Health JFK Medical Center,Edison,NJ,08818,44.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
968,Newark Beth Israel Medical Center,Newark,NJ,07112-2027,44.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
969,CentraState Medical Center,Freehold,NJ,07728-2549,43.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
970,Jersey City Medical Center,Jersey City,NJ,07302,43.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
971,St. Mary's General Hospital,Passaic,NJ,07055-2840,42.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
972,St. Clare's Denville Hospital,Denville,NJ,07834-2954,42.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
973,Lourdes Medical Center of Burlington County,Willingboro,NJ,08046-1162,40.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
974,Trinitas Regional Medical Center,Elizabeth,NJ,07202-3625,39.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
975,Clara Maass Medical Center,Belleville,NJ,07109-3557,38.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
976,Capital Health Medical Center-Hopewell,Pennington,NJ,08534-2520,37.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
977,Inspira Medical Center-Woodbury,Woodbury,NJ,08096-1697,35.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
978,Robert Wood Johnson University Hospital Rahway,Rahway,NJ,07065-2797,26.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" p"
979,Presbyterian Hospital,Albuquerque,NM,87106-4934,57.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
980,University of New Mexico Hospitals,Albuquerque,NM,87106-2745,49.5,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
981,San Juan Regional Medical Center,Farmington,NM,87401-5630,46.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
982,Christus St. Vincent Regional Medical Center,Santa Fe,NM,87505-7601,44.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
983,Memorial Medical Center-Las Cruces,Las Cruces,NM,88011-5076,44.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
984,Lovelace Medical Center,Albuquerque,NM,87102-3619,27.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
985,North Shore University Hospital,Manhasset,NY,11030-3816,77.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
986,NYU Langone Hospitals,New York,NY,10016-6402,76.5,"racking-id=""scorecard-specialty-click"" href=""/best-hospita"
987,New York-Presbyterian Hospital-Columbia and Cornell,New York,NY,10065-4870,75.4,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals/area/co/national-jewish-health-68403"
988,Rochester General Hospital,Rochester,NY,14621-3099,70.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
989,St. Francis Hospital-Roslyn,Roslyn,NY,11576-1353,69.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
990,Strong Memorial Hospital of the University of Rochester,Rochester,NY,14642-0002,69.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
991,NYU Winthrop Hospital,Mineola,NY,11501-3957,68.8,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals"
992,Mount Sinai Hospital,New York,NY,10029-0310,67.6,"racking-id=""scorecard-specialty-click"" href=""/best-hospita"
993,Huntington Hospital,Huntington,NY,11743-2799,67.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
994,Northern Westchester Hospital,Mount Kisco,NY,10549-3477,67.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
995,Stony Brook University Hospital,Stony Brook,NY,11794-8410,66.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
996,Lenox Hill Hospital,New York,NY,10075-1850,66.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
997,White Plains Hospital,White Plains,NY,10601-4699,64.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
998,Orange Regional Medical Center,Middletown,NY,10940-2650,64.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
999,Long Island Jewish Medical Center,New Hyde Park,NY,11040-1496,64.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
1000,Newark-Wayne Community Hospital,Newark,NY,14513-1057,63.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
1001,Memorial Sloan-Kettering Cancer Center,New York,NY,10065-6007,63.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
1002,Montefiore Medical Center,Bronx,NY,10467-2401,63.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
1003,New York-Presbyterian Queens Hospital,Flushing,NY,11355-5045,63.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
1004,Albany Medical Center,Albany,NY,12208-3478,62.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
1005,South Nassau Communities Hospital,Oceanside,NY,11572-1551,61.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
1006,Unity Hospital,Rochester,NY,14626-4182,61.9,/best-hospitals/area/co/national-jewish-health-6840315/pul
1007,St. Peter's Hospital-Albany,Albany,NY,12208-1789,60.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
1008,Maimonides Medical Center,Brooklyn,NY,11219-2916,60.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" l"
1009,University of Vermont Health Network-Champlain Valley Physicians Hospital,Plattsburgh,NY,12901-1438,59.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonol
1010,Upstate University Hospital,Syracuse,NY,13210-2342,59.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1011,Staten Island University Hospital,Staten Island,NY,10305-3436,59.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
1012,NewYork-Presbyterian Brooklyn Methodist Hospital,Brooklyn,NY,11215-3609,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1013,Mather Hospital,Port Jefferson,NY,11777-2190,59.1,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
1014,Mount Sinai Morningside and Mount Sinai West Hospitals,New York,NY,10025-1716,58.7,"racking-id=""scorecard-specialty-click"" href=""/best-hospitals/area/"
1015,Mount Sinai Beth Israel Hospital,New York,NY,10003-3803,58.4,"racking-id=""scorecard-specialty-click"" href=""/best-hospita"
1016,St. Joseph's Health Hospital,Syracuse,NY,13203-1807,58.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-sp"
1017,Vassar Brothers Medical Center,Poughkeepsie,NY,12601-3947,57.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
1018,Phelps Memorial Hospital Center,Sleepy Hollow,NY,10591-1020,57.2,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-"
1019,Saratoga Hospital,Saratoga Springs,NY,12866-1003,55.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
1020,Highland Hospital,Rochester,NY,14620-2733,53.8,/best-hospitals/area/co/national-jewish-health-6840315/pulmon
1021,Southside Hospital,Bay Shore,NY,11706-8458,53.6,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
1022,St. John's Riverside Hospital,Yonkers,NY,10701-1399,53.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1023,Plainview Hospital,Plainview,NY,11803-4978,52.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"""
1024,Buffalo General Medical Center,Buffalo,NY,14203-1154,52.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter"
1025,Mount St. Mary's Hospital and Health Center,Lewiston,NY,14092-1903,50.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"""
1026,New York-Presbyterian-Hudson Valley Hospital,Cortlandt Manor,NY,10567-4182,49.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" lette"
1027,Westchester Medical Center,Valhalla,NY,10595-1530,49.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
1028,Our Lady of Lourdes Memorial Hospital,Binghamton,NY,13905-4246,49.0,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacin"
1029,Glens Falls Hospital,Glens Falls,NY,12801-4413,48.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
1030,Nyack Hospital,Nyack,NY,10960-1998,47.9,/best-hospitals/area/co/national-jewish-health-6840315/pul
1031,St. Luke's Cornwall Hospital,Newburgh,NY,12550-4851,47.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
1032,United Health Services Hospitals-Binghamton,Binghamton,NY,13903-1678,47.2,/best-hospitals/area/co/national-jewish-health-6840315/pu
1033,NYC Health and Hospitals-Elmhurst,Elmhurst,NY,11373-1329,46.9,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
1034,Montefiore New Rochelle Hospital,New Rochelle,NY,10801-5502,46.8,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
1035,Good Samaritan Hospital Medical Center,West Islip,NY,11795-4927,46.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing"
1036,SUNY Downstate Medical Center University Hospital,Brooklyn,NY,11203-2012,46.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"" pref"
1037,St. Joseph Hospital-Bethpage,Bethpage,NY,11714-5769,45.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
1038,Cayuga Medical Center at Ithaca,Ithaca,NY,14850-1342,45.3,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolog
1039,Peconic Bay Medical Center,Riverhead,NY,11901-2031,45.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
1040,Glen Cove Hospital,Glen Cove,NY,11542-2254,45.2,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
1041,Samaritan Hospital-Main Campus,Troy,NY,12180-2475,45.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmono
1042,Arnot Ogden Medical Center,Elmira,NY,14905-1629,44.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
1043,F. F. Thompson Hospital,Canandaigua,NY,14424-1731,44.7,/best-hospitals/area/co/national-jewish-health-6840315/pulmonolo
1044,Putnam Hospital Center,Carmel,NY,10512-3997,43.9,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
1045,Crouse Hospital,Syracuse,NY,13210-1690,43.7,/best-hospitals/area/co/national-jewish-health-6840315/pulm
1046,Samaritan Medical Center,Watertown,NY,13601-4034,43.7,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" "
1047,Long Island Community Hospital,Patchogue,NY,11772-4897,43.4,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-spacing=""0.6"
1048,Erie County Medical Center,Buffalo,NY,14215-3098,42.5,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" le"
1049,Sisters of Charity Hospital of Buffalo,Buffalo,NY,14214-2692,42.3,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" let"
1050,Kenmore Mercy Hospital,Kenmore,NY,14217-1390,42.1,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
1051,Mercy Hospital-Buffalo,Buffalo,NY,14220-2095,41.6,/best-hospitals/area/co/national-jewish-health-6840315/pul
1052,Cortland Regional Medical Center,Cortland,NY,13045-1206,41.6,"/best-hospitals/area/co/national-jewish-health-6840315/pulmonology"" letter-s"
1053,NYC Health and Hospitals-Queens,Jamaica,NY,11432-1104,41.4,/best-hospitals/area/co/national-jewish-health-6840315/pulmonology
